-----------------------------------------
| author                        | count |
| "Raia, P."                    | 2     |
| "Tietz, O."                   | 2     |
| "Polcyn, M.J."                | 2     |
| "Skovsted, C.B."              | 3     |
| "Therrien, F."                | 3     |
| "Onoue, T."                   | 3     |
| "He, W."                      | 2     |
| "Kuwahara, K."                | 2     |
| "Cavallo, O."                 | 2     |
| "Yamamoto, N."                | 2     |
| "Rio, D."                     | 2     |
| "Yao, Y. F."                  | 3     |
| "Knoll, F."                   | 2     |
| "Rubilar-Rogers, D."          | 2     |
| "Rankin, B.D."                | 2     |
| "Vignaud, P."                 | 3     |
| "Gibling, M. R."              | 2     |
| "Scholz, H."                  | 3     |
| "Verniers, J."                | 2     |
| "Zunino, M."                  | 2     |
| "Peng, J."                    | 7     |
| "Suzuki, N."                  | 3     |
| "Blain, H. A."                | 2     |
| "Steyer, J. S."               | 2     |
| "Smith, A.B."                 | 2     |
| "Escarguel, G."               | 2     |
| "Monechi, S."                 | 3     |
| "Bubik, M."                   | 2     |
| "CLARKSON, E. N."             | 3     |
| "Ladeveze, S."                | 2     |
| "Yang, Y."                    | 3     |
| "Niedzwiedzki, G."            | 2     |
| "Zhang, J."                   | 4     |
| "Munnecke, A."                | 5     |
| "Scholz, C. A."               | 4     |
| "Giersch, S."                 | 2     |
| "Yang, H."                    | 4     |
| "Molina, E."                  | 2     |
| "BRASIER, M. D."              | 2     |
| "Almogi-Labin, A."            | 2     |
| "Carter, E. S."               | 2     |
| "Jagt, J.W.M."                | 2     |
| "Hibbard, J. P."              | 4     |
| "Hayward, B. W."              | 2     |
| "Fang, X."                    | 2     |
| "Zonneveld, J. P."            | 2     |
| "SCHOENEMANN, B."             | 2     |
| "Korn, D."                    | 9     |
| "Bruhwiler, T."               | 2     |
| "Lea, D. W."                  | 2     |
| "Kear, B."                    | 7     |
| "Renema, W."                  | 3     |
| "Steneck, R. S."              | 2     |
| "Badiola, A."                 | 2     |
| "Li, J."                      | 3     |
| "Palmqvist, P."               | 2     |
| "Kaljo, D."                   | 4     |
| "Alve, E."                    | 2     |
| "Clark, P. U."                | 2     |
| "DiTullio, L."                | 4     |
| "Iljina, L. B."               | 2     |
| "BARRETT, P. M."              | 2     |
| "Uchman, A."                  | 4     |
| "Melnikova, L. M."            | 2     |
| "Leng, X. T."                 | 2     |
| "Cabrera, L."                 | 2     |
| "Davis, M."                   | 2     |
| "Reis, L. C."                 | 2     |
| "Bougariane, B."              | 2     |
| "Han, W."                     | 2     |
| "Ahlberg, P. E."              | 2     |
| "Barcena, M. A."              | 2     |
| "Pole, M."                    | 3     |
| "Rozefelds, A."               | 2     |
| "Abrunhosa, F."               | 2     |
| "Pickford, M."                | 4     |
| "Leighton, L. R."             | 2     |
| "Ghosh, D. K."                | 2     |
| "Xiao, G."                    | 3     |
| "O'Dogherty, L."              | 2     |
| "Underwood, M. B."            | 4     |
| "Song, J.Y."                  | 2     |
| "ROBERTS, R. G."              | 2     |
| "Fillmore, D. L."             | 2     |
| "Holmer, L. E."               | 2     |
| "Gingras, M."                 | 3     |
| "CREMER, H."                  | 2     |
| "Lim, J."                     | 2     |
| "Wei, J."                     | 2     |
| "Ferguson, D. K."             | 2     |
| "Marshall, J. E."             | 3     |
| "Fourvel, J.B."               | 2     |
| "Marsili, S."                 | 2     |
| "Zeng, Q.-l."                 | 2     |
| "Avermann, M."                | 2     |
| "Falcon-Lang, H. J."          | 2     |
| "Nicosia, U."                 | 2     |
| "Saez, A."                    | 3     |
| "Kidwell, S.M."               | 4     |
| "Nolvak, J."                  | 4     |
| "Ahrens, T. J."               | 2     |
| "Horton, B. P."               | 2     |
| "BENGTSON, S."                | 2     |
| "Brett, C. E."                | 7     |
| "Owen, A. W."                 | 2     |
