--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                                                                                                                                                                                                                                                                | count |
| "Environmental magnetic study of a Xeralf chronosequence in northwestern Spain: Indications for pedogenesis"                                                                                                                                                                                                                                                         | 7     |
| "Late Eocene sea retreat from the Tarim Basin (west China) and concomitant Asian paleoenvironmental change"                                                                                                                                                                                                                                                          | 10    |
| "A re-assessment of age dating of fossiliferous limestones in eastern Sabah, Borneo: Implications for understanding the origins of the Indo-Pacific marine biodiversity hotspot"                                                                                                                                                                                     | 6     |
| "Upper Cretaceous feldspars in the Cenozoic Limagne Basin: A key argument in reconstructing the palaeocover of the Massif Central (France)"                                                                                                                                                                                                                          | 8     |
| "Late Little Ice Age palaeoenvironmental records from the Anzali and Amirkola Lagoons (south Caspian Sea): Vegetation and sea level changes"                                                                                                                                                                                                                         | 10    |
| "A New Burgess Shale-type Biota from the Upper Shilongdong Formation, Lower Cambrian of Central Hubei, South China"                                                                                                                                                                                                                                                  | 6     |
| "Petrographic and isotopic evidence for Holocene long-term climate change and shorter-term environmental shifts from a stalagmite from the Serra do Courel of northwestern Spain, and implications for climatic history across Europe and the Mediterranean"                                                                                                         | 9     |
| "August temperature variability in the southeastern Tibetan Plateau since AD 1385 inferred from tree rings"                                                                                                                                                                                                                                                          | 6     |
| "Predation on Holocene ostracods of the Donana National Park (SW Spain)"                                                                                                                                                                                                                                                                                             | 9     |
| "Rodents and lagomorphs from the Middle Miocene hominoid-bearing site of Barranc de Can Vila 1 (els Hostalets de Pierola, Catalonia, Spain). (With 5 figures and 9 tables)"                                                                                                                                                                                          | 6     |
| "Middle and Upper Ordovician carbon isotope chemostratigraphy in Baltoscandia: A correlation standard and clues to environmental history"                                                                                                                                                                                                                            | 7     |
| "Astronomical dating of the Xiantai, Donggutuo and Maliang Paleolithic sites in the Nihewan Basin (North China) and implications for early human evolution in East Asia"                                                                                                                                                                                             | 7     |
| "Changes in cavernicolous bivalve assemblages and environments within a sub-marine cave in the Okinawa Islands during the last 5,000 years"                                                                                                                                                                                                                          | 6     |
| "Production, purification and characterization of a thermostable beta -1,3-glucanase (laminarinase) produced by Moniliophthora perniciosa"                                                                                                                                                                                                                           | 9     |
| "Position of the Triassic-Jurassic boundary and timing of the end-Triassic extinctions on land: Data from the Moenave Formation on the southern Colorado Plateau, USA"                                                                                                                                                                                               | 7     |
| "Human mobility on the Brazilian coast: an analysis of strontium isotopes in archaeological human remains from Forte Marechal Luz sambaqui"                                                                                                                                                                                                                          | 6     |
| "Biostratigraphical calibration of third order Ordovician sequences on the northern Gondwana platform"                                                                                                                                                                                                                                                               | 9     |
| "Multi proxy evidence for early to mid Holocene environmental and climatic changes in northeastern Poland"                                                                                                                                                                                                                                                           | 10    |
| "Epipelagic chitinozoan biotopes map a steep latitudinal temperature gradient for earliest Late Ordovician seas: Implications for a cooling Late Ordovician climate"                                                                                                                                                                                                 | 8     |
| "A new early Campanian rudist fauna from San Luis Potosi in Mexico and its taxonomic and stratigraphic significance"                                                                                                                                                                                                                                                 | 7     |
| "Post-Pampean cooling and the uplift of the Sierras Pampeanas in the west of Cordoba (Central Argentina). (With 7 figures and 1 table)"                                                                                                                                                                                                                              | 6     |
| "Changes in shell durability of common marine taxa through the Phanerozoic: evidence for biological rather than taphonomic drivers"                                                                                                                                                                                                                                  | 10    |
| "The genetic diversity and molecular phylogeny of Radiolaria in South China Sea"                                                                                                                                                                                                                                                                                     | 6     |
| "Paleoenvironments of the latest Cretaceous oil shale sequence, Southern Tethys, Israel, as an integral part of the prevailing upwelling system"                                                                                                                                                                                                                     | 7     |
| "Intensification of monsoon, microclimate and asynchronous C4 appearance: Isotopic evidence from the Indian Siwalik sediments"                                                                                                                                                                                                                                       | 6     |
| "The anatomy, taphonomy, taxonomy and systematic affinity of Markuelia: Early Cambrian to Early Ordovician scalidophorans"                                                                                                                                                                                                                                           | 10    |
| "Biodiversity patterns of Ordovician marine microphytoplankton from Baltica: Comparison with other fossil groups and sea-level changes"                                                                                                                                                                                                                              | 6     |
| "Hettangian (Early Jurassic) Dinosaur Tracksites from the Mecsek Mountains, Hungary"                                                                                                                                                                                                                                                                                 | 8     |
| "Hydrocarbon seeps from close to the Jurassic-Cretaceous boundary, Svalbard"                                                                                                                                                                                                                                                                                         | 9     |
| "Changes in calcareous nannofossil assemblages during the Middle Eocene Climatic Optimum: Clues from the central-western Tethys (Alano section, NE Italy)"                                                                                                                                                                                                           | 8     |
| "Anti-phase oscillation of Asian monsoons during the Younger Dryas period: Evidence from peat cellulose d^1^3C of Hani, Northeast China"                                                                                                                                                                                                                             | 9     |
| "A climate-driven model and development of a floating point time scale for the entire Middle Devonian Givetian Stage: A test using magnetostratigraphy susceptibility as a climate proxy"                                                                                                                                                                            | 8     |
| "Source, timing, frequency and flux of ice-rafted detritus to the Northeast Atlantic margin, 30-12 ka: testing the Heinrich precursor hypothesis"                                                                                                                                                                                                                    | 10    |
| "Spatial variation in sediment fluxes, redox conditions, and productivity in the Permian-Triassic Panthalassic Ocean"                                                                                                                                                                                                                                                | 10    |
| "Revised correlation of Silurian Provincial Series of North America with global and regional chronostratigraphic units and 13Ccarb chemostratigraphy"                                                                                                                                                                                                                | 10    |
| "Distribution of large Emiliania huxleyi in the Central and Northeast Atlantic as a tracer of surface ocean dynamics during the last 25,000years"                                                                                                                                                                                                                    | 9     |
| "Long-term summer (AD751-2008) temperature fluctuation in the French Alps based on tree-ring data"                                                                                                                                                                                                                                                                   | 7     |
| "Upper Palaeolithic (layer 2) and Middle Palaeolithic (layer 3) large faunas from El Harhoura 2 Cave (Temara, Morocco): paleontological, paleoecological and paleoclimatic data"                                                                                                                                                                                     | 6     |
| "Stratigraphic evidence for the Hirnantian (latest Ordovician) glaciation in the Zagros Mountains, Iran"                                                                                                                                                                                                                                                             | 6     |
| "Early Eocene perissodactyls (Mammalia) from the upper Nomogen Formation of the Erlian Basin, Nei Mongol, China"                                                                                                                                                                                                                                                     | 9     |
| "Ostracods (Crustacea) through the Permian-Triassic boundary in South China: the Meishan stratotype (Zhejiang Province)"                                                                                                                                                                                                                                             | 6     |
| "Long-term climate variability in continental subarctic Canada: A 6200-year record derived from stable isotopes in peat"                                                                                                                                                                                                                                             | 6     |
| "The impact of the Mid-Pleistocene Transition on the composition of submerged reefs of the Maui Nui Complex, Hawaii"                                                                                                                                                                                                                                                 | 6     |
| "On a new peirosaurid crocodyliform from the Upper Cretaceous, Bauru Group, southeastern Brazil"                                                                                                                                                                                                                                                                     | 7     |
| "Large vertebrate burrow from the Upper Mississippian Mauch Chunk Formation, eastern Pennsylvania, USA"                                                                                                                                                                                                                                                              | 7     |
| "The surface geometry of the Last Glacial Maximum ice sheet in the And&#xf8;ya-Sk&#xe5;nland region, northern Norway, constrained by surface exposure dating and clay mineralogy"                                                                                                                                                                                    | 8     |
| "Seasonal to interannual variability and geographic distribution of the silicoflagellate fluxes in the Western Mediterranean"                                                                                                                                                                                                                                        | 8     |
| "Modelling Late Miocene vegetation in Europe: Results of the CARAIB model and comparison with palaeovegetation data"                                                                                                                                                                                                                                                 | 10    |
| "Ankylosaurian dinosaur remains from the Lower Cretaceous of southeastern Australia"                                                                                                                                                                                                                                                                                 | 8     |
| "Climate control of sulfate influx to Lake Hovsgol, northwest Mongolia, during the last glacial-postglacial transition: Constraints from sulfur geochemistry"                                                                                                                                                                                                        | 9     |
| "Systematic revision of the Late Miocene sabre toothed felid Paramachaerodus in Spain"                                                                                                                                                                                                                                                                               | 6     |
| "Pilgrimstad revisited - a multi-proxy reconstruction of Early/Middle Weichselian climate and environment at a key site in central Sweden"                                                                                                                                                                                                                           | 8     |
| "Global radiolarian zonation for the Pliensbachian, Toarcian and Aalenian"                                                                                                                                                                                                                                                                                           | 9     |
| "Postglacial changes in the Asian summer monsoon system: a pollen record from the eastern margin of the Tibetan Plateau"                                                                                                                                                                                                                                             | 10    |
| "Surface Microstructures of the Microbialite Around Permo-Triassic Boundary, NE Sichuan, China"                                                                                                                                                                                                                                                                      | 9     |
| "Triassic Evolution of the Yangtze Platform in Guizhou Province, People's Republic of China"                                                                                                                                                                                                                                                                         | 9     |
| "Climatic change during the Palaeocene to Eocene based on fossil plants from Fushun, China"                                                                                                                                                                                                                                                                          | 8     |
| "Paleoceanography of the Mauritanian margin during the last two climatic cycles: From planktonic foraminifera to African climate dynamics"                                                                                                                                                                                                                           | 8     |
| "Ostracod Mg/Sr/Ca and 87Sr/86Sr geochemistry from Tibetan lake sediments: Implications for early to mid-Pleistocene Indian monsoon and catchment weathering"                                                                                                                                                                                                        | 7     |
| "Orbitally forced climate and sea-level changes in the Paleoceanic Tethyan domain (marl-limestone alternations, Lower Kimmeridgian, SE France)"                                                                                                                                                                                                                      | 6     |
| "A preliminary record of the historical seabird population in the Larsemann Hills, East Antarctica, from geochemical analyses of Mochou Lake sediments"                                                                                                                                                                                                              | 6     |
| "Geochimie des tufs de Fejej (Sud-Omo, Ethiopie) et correlations tephrostratigraphiques avec les formations plio-pleistocenes du bassin de l'Omo-Turkana"                                                                                                                                                                                                            | 8     |
| "Miocene pollen record of KC-1 core in the Qaidam Basin, NE Tibetan Plateau and implications for evolution of the East Asian monsoon"                                                                                                                                                                                                                                | 6     |
